1668837615.006302000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	603		ff:ff:ff:ff:ff:ff
1668837615.006321000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	603		ff:ff:ff:ff:ff:ff
1668837615.006336000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	603		ff:ff:ff:ff:ff:ff
1668837615.026021000	2412	-85	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	1876	UWS	ff:ff:ff:ff:ff:ff
1668837615.048080000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	604		ff:ff:ff:ff:ff:ff
1668837615.048099000	2437	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	604		ff:ff:ff:ff:ff:ff
1668837615.048114000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	604		ff:ff:ff:ff:ff:ff
1668837615.050222000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	605		ff:ff:ff:ff:ff:ff
1668837615.050241000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	605		ff:ff:ff:ff:ff:ff
1668837615.092077000	2412	-68	fa:a7:90:bb:06:d5	ff:ff:ff:ff:ff:7f	719		fd:ff:bf:db:ef:b2
1668837615.092097000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	606		ff:ff:ff:ff:ff:ff
1668837615.092112000	2462	-61	b2:87:46:5b:03:91	ff:ff:ff:ff:ff:ff	2654		ff:77:ff:99:8f:b0
1668837615.094179000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	607		ff:ff:ff:ff:ff:ff
1668837615.094198000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	607		ff:ff:ff:ff:ff:ff
1668837615.094214000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	607		ff:ff:ff:ff:ff:ff
1668837615.136028000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	608		ff:ff:ff:ff:ff:ff
1668837615.136048000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	608		ff:ff:ff:ff:ff:ff
1668837615.136063000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	608		ff:ff:ff:ff:ff:ff
1668837615.138096000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	609		ff:ff:ff:ff:ff:ff
1668837615.138115000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	609		ff:ff:ff:ff:ff:ff
1668837615.180094000	2412	-85	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	610		ff:ff:ff:ff:ff:ff
1668837615.224116000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	612		ff:ff:ff:ff:ff:ff
1668837615.268095000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	614		ff:ff:ff:ff:ff:ff
1668837615.270324000	2437	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	615		ff:ff:ff:ff:ff:ff
1668837615.270343000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	615		ff:ff:ff:ff:ff:ff
1668837615.332176000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	616		ff:ff:ff:ff:ff:ff
1668837615.332196000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	616		ff:ff:ff:ff:ff:ff
1668837615.332212000	2462	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	616		ff:ff:ff:ff:ff:ff
1668837615.334536000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	617		ff:ff:ff:ff:ff:ff
1668837615.334555000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	617		ff:ff:ff:ff:ff:ff
1668837615.376345000	2462	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	618		ff:ff:ff:ff:ff:ff
1668837615.440397000	2412	-86	b2:87:66:09:71:99	ff:ff:ff:ff:ff:ff	460		7e:bd:de:82:ca:d3
1668837615.818877000	2462	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1		ff:ff:ff:ff:ff:ff
1668837616.253626000	2437	-92	dc:21:5c:92:af:81	ff:ff:ff:ff:ff:ff	1360		ff:ff:ff:ff:ff:ff
1668837617.905203000	2412	-84	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1634	UWS	ff:ff:ff:ff:ff:ff
1668837617.921052000	2412	-84	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1635	UWS	ff:ff:ff:ff:ff:ff
1668837617.962030000	2437	-89	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1637	UWS	ff:ff:ff:ff:ff:ff
1668837617.986812000	2462	-88	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1638	UWS	ff:ff:ff:ff:ff:ff
1668837618.007315000	2462	-87	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1639	UWS	ff:ff:ff:ff:ff:ff
1668837618.211828000	2412	-88	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1761		ff:ff:ff:77:bf:fd
1668837618.232079000	2412	-90	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1649	UWS	ff:ff:ff:ff:ff:ff
1668837620.404485000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	86		ff:ff:ff:ff:ff:ff
1668837623.243634000	2412	-56	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	712		ff:ff:ff:ff:ff:ff
1668837623.245644000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	713		ff:ff:ff:ff:ff:ff
1668837623.307723000	2412	-59	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	714		ff:ff:ff:ff:ff:ff
1668837623.309697000	2412	-60	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	715		ff:ff:ff:ff:ff:ff
1668837623.438373000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	719		ff:ff:ff:ff:ff:ff
1668837623.500905000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	720		ff:ff:ff:ff:ff:ff
1668837623.500924000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	720		ff:ff:ff:ff:ff:ff
1668837623.502905000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	721		ff:ff:ff:ff:ff:ff
1668837623.502924000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	721		ff:ff:ff:ff:ff:ff
1668837623.565112000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	722		ff:ff:ff:ff:ff:ff
1668837623.565127000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	722		ff:ff:ff:ff:ff:ff
1668837623.567304000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	723		ff:ff:ff:ff:ff:ff
1668837623.567323000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	723		ff:ff:ff:ff:ff:ff
1668837623.611426000	2462	-89	e4:4e:2d:7a:4b:99	fb:ff:ff:ff:ff:ff	1003		fa:47:2d:ea:68:22
1668837623.629747000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	724		ff:ff:ff:ff:ff:ff
1668837623.629767000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	724		ff:ff:ff:ff:ff:ff
1668837623.631772000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	725		ff:ff:ff:ff:ff:ff
1668837623.631792000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	725		ff:ff:ff:ff:ff:ff
1668837623.696175000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	727		ff:ff:ff:ff:ff:ff
1668837623.824751000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	731		ff:ff:ff:ff:ff:ff
1668837623.846071000	2412	-92	de:a3:5c:44:22:72	ff:ff:ff:ff:ff:ff	2435		ff:ff:ff:ff:ff:ff
1668837623.887178000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	732		ff:ff:ff:ff:ff:ff
1668837623.889603000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	733		ff:ff:ff:ff:ff:ff
1668837623.912551000	2437	-87	92:18:32:58:e9:93	ff:ff:ff:ff:ff:ff	891		ff:ff:ff:ff:ff:ff
1668837624.879778000	2437	-90	70:b3:17:a0:51:63	ff:ff:ff:ff:ff:ff	3637		70:b3:17:a0:51:63
1668837625.972458000	2412	-87	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1660	UWS	ff:ff:ff:ff:ff:ff
1668837626.006530000	2412	-87	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1661	UWS	ff:ff:ff:ff:ff:ff
1668837626.112309000	2437	-90	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1666	UWS	ff:ff:ff:ff:ff:ff
1668837626.127395000	2437	-90	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1667	UWS	ff:ff:ff:ff:ff:ff
1668837626.152251000	2412	-86	7a:eb:82:65:14:b3	fe:ff:ff:ff:ff:ff	1668	UWS	ff:ff:ff:ff:ff:ff
1668837626.172505000	2412	-89	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1669	T��J��2*�%:%0H`l^�m�r)�	ff:ff:ff:ff:ff:ff
1668837626.242232000	2462	-92	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1672	UWS	ff:ff:ff:ff:ff:ff
1668837626.262592000	2462	-90	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1673	UWS	ff:ff:ff:ff:ff:ff
1668837626.430937000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668837629.152402000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	634		ff:ff:ff:ff:ff:ff
1668837629.152423000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	634		ff:ff:ff:ff:ff:ff
1668837629.152439000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	634		ff:ff:ff:ff:ff:ff
1668837629.154727000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	635		ff:ff:ff:ff:ff:ff
1668837629.154747000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	635		ff:ff:ff:ff:ff:ff
1668837629.215673000	2412	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	636		ff:ff:ff:ff:ff:ff
1668837629.215693000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	636		ff:ff:ff:ff:ff:ff
1668837629.217743000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	637		ff:ff:ff:ff:ff:ff
1668837629.259699000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	638		ff:ff:ff:ff:ff:ff
1668837629.261848000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	639		ff:ff:ff:ff:ff:ff
1668837629.274403000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	640		ff:ff:ff:ff:ff:ff
1668837629.274423000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	640		ff:ff:ff:ff:ff:ff
1668837629.276504000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	641		ff:ff:ff:ff:ff:ff
1668837629.276524000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	641		ff:ff:ff:ff:ff:ff
1668837629.276539000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	641		ff:ff:ff:ff:ff:ff
1668837629.288980000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	642		ff:ff:ff:ff:ff:ff
1668837629.288999000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	642		ff:ff:ff:ff:ff:ff
1668837629.289016000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	642		ff:ff:ff:ff:ff:ff
1668837629.291078000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	643		ff:ff:ff:ff:ff:ff
1668837629.291098000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	643		ff:ff:ff:ff:ff:ff
1668837629.333029000	2412	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	644		ff:ff:ff:ff:ff:ff
1668837629.333049000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	644		ff:ff:ff:ff:ff:ff
1668837629.333065000	2462	-59	b2:87:66:09:27:91	6e:ff:df:ed:77:fb	644		ff:ff:ff:ff:ff:ff
1668837629.335428000	2412	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	645		ff:ff:ff:ff:ff:ff
1668837629.335447000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	645		ff:ff:ff:ff:ff:ff
1668837629.335462000	2462	-63	b2:87:66:09:27:91	fb:ff:ff:ff:ff:ff	645		ff:ff:ff:ff:ff:ff
1668837629.377009000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	646		ff:ff:ff:ff:ff:ff
1668837629.377028000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	646		ff:ff:ff:ff:ff:ff
1668837629.377043000	2462	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	646		ff:ff:ff:ff:ff:ff
1668837629.379180000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	647		ff:ff:ff:ff:ff:ff
1668837629.379200000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	647		ff:ff:ff:ff:ff:ff
1668837629.379215000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	647		ff:ff:ff:ff:ff:ff
1668837629.421039000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	648		ff:ff:ff:ff:ff:ff
1668837629.424620000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	649		ff:ff:ff:ff:ff:ff
1668837629.464997000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	650		ff:ff:ff:ff:ff:ff
1668837629.467171000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	651		ff:ff:ff:ff:ff:ff
1668837629.529170000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	652		ff:ff:ff:ff:ff:ff
1668837629.531328000	2437	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	653		ff:ff:ff:ff:ff:ff
1668837629.531348000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	653		ff:ff:ff:ff:ff:ff
1668837629.573328000	2437	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	654		ff:ff:ff:ff:ff:ff
1668837629.573347000	2462	-26	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	654		ff:ff:ff:ff:ff:ff
1668837629.575677000	2437	-73	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	655		ff:ff:ff:ff:ff:ff
1668837629.575697000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	655		ff:ff:ff:ff:ff:ff
1668837629.617200000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	656		ff:ff:ff:ff:ff:ff
1668837629.619795000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	657		ff:ff:ff:ff:ff:ff
1668837629.661396000	2412	-87	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	658		ff:ff:ff:ff:ff:ff
1668837629.663744000	2412	-87	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1781		ff:ff:ff:ff:ff:ff
1668837631.104952000	2412	-86	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1678	UWS	ff:ff:ff:ff:ff:ff
1668837631.125173000	2412	-85	7a:eb:82:65:14:b3	ff:ff:ff:ff:ff:ff	1679	UWS	ff:ff:ff:ff:ff:ff
1668837631.398086000	2462	-86	16:d5:43:5e:c0:9f	ff:ff:ff:ff:ff:ff	513		ff:ff:ff:ff:ff:ff
