1668780009.971892000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	85	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780009.973318000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	86	5099251212	ff:ff:ff:ff:ff:ff
1668780009.974908000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	87		ff:ff:ff:ff:ff:ff
1668780010.011840000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	88	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.013275000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	89	5099251212	ff:ff:ff:ff:ff:ff
1668780010.014828000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	90		ff:ff:ff:ff:ff:ff
1668780010.054996000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	92	5099251212	ff:ff:ff:ff:ff:ff
1668780010.094269000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	94	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.095666000	2412	-37	a1:50:8b:43:b1:20	bb:9f:fd:dd:7e:d6	95	5099251212	ff:ff:bf:db:ff:ff
1668780010.097088000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	96		ff:ff:ff:ff:ff:ff
1668780010.179269000	2412	-64	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	101	5099251212	ff:ff:ff:ff:ff:ff
1668780010.220864000	2412	-46	e8:50:8b:43:b1:20	ff:77:53:e9:ff:ff	105		ff:ff:ff:ff:ff:ff
1668780010.299551000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	109	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.300965000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	110	5099251212	ff:ff:ff:ff:ff:ff
1668780010.302711000	2437	-25	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	111		ff:ff:ff:ff:ff:ff
1668780010.338968000	2437	-25	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	112	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.340392000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	113	5099251212	ff:ff:ff:ff:ff:ff
1668780010.342344000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	114		ff:ff:ff:ff:ff:ff
1668780010.381142000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	115	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.382617000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	116	5099251212	ff:ff:ff:ff:ff:ff
1668780010.384393000	2437	-28	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	117		ff:ff:ff:ff:ff:ff
1668780010.421069000	2437	-28	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	118	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.422489000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	119	5099251212	ff:ff:ff:ff:ff:ff
1668780010.424168000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	120		ff:ff:ff:ff:ff:ff
1668780010.463546000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	121	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.464904000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	122	5099251212	ff:ff:ff:ff:ff:ff
1668780010.467645000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	123		ff:ff:ff:ff:ff:ff
1668780010.505297000	2412	-80	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	124	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.505317000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	124	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.506699000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	125	5099251212	ff:ff:ff:ff:ff:ff
1668780010.508116000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	126		ff:ff:ff:ff:ff:ff
1668780010.547323000	2462	-55	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	128	5099251212	ff:ff:ff:ff:ff:ff
1668780010.628069000	2412	-88	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	133	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.629473000	2462	-47	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	134	5099251212	ff:ff:ff:ff:ff:ff
1668780010.631400000	2462	-43	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	135		ff:ff:ff:ff:ff:ff
1668780010.646168000	2462	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	46		ff:ff:ff:ff:ff:ff
1668780010.670698000	2462	-47	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	137	5099251212	ff:ff:ff:ff:ff:ff
1668780010.673399000	2462	-48	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	138		ff:ff:ff:ff:ff:ff
1668780010.710201000	2437	-71	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	139	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.710221000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	139	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.711699000	2462	-41	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	140	5099251212	ff:ff:ff:ff:ff:ff
1668780010.750424000	2462	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	142	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.751845000	2462	-42	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	143	5099251212	ff:ff:ff:ff:ff:ff
1668780010.753174000	2462	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	144		ff:ff:ff:ff:ff:ff
1668780010.792277000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	145	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.793900000	2462	-39	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	146	5099251212	ff:ff:ff:ff:ff:ff
1668780010.795219000	2462	-40	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	147		ff:ff:ff:ff:ff:ff
1668780010.832374000	2462	-39	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	148	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780010.833797000	2462	-39	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	149	5099251212	ff:ff:ff:ff:ff:ff
1668780010.835469000	2462	-40	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	150		ff:ff:ff:ff:ff:ff
1668780010.909864000	2437	-93	00:22:58:70:00:dc	ff:ff:bf:cb:e6:f6	58		ff:ff:ff:ff:ff:ff
1668780011.290652000	2462	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1		ff:ff:ff:ff:ff:ff
1668780011.311498000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2		ff:ff:ff:ff:ff:ff
1668780012.469829000	2412	-81	6d:f2:fc:d7:43:0d	b9:00:d5:8d:61:76	582		da:47:22:50:a6:cf
1668780012.734956000	2462	-87	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	187	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780012.735114000	2462	-87	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	188	5099251212	ff:ff:ff:ff:ff:ff
1668780012.735338000	2462	-86	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	189		ff:ff:ff:ff:ff:ff
1668780012.775600000	2462	-86	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	190	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668780012.775763000	2462	-88	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	191	5099251212	ff:ff:ff:ff:ff:ff
1668780012.776137000	2462	-87	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	192		ff:ff:ff:ff:ff:ff
1668780013.343627000	2412	-87	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3417		ff:ff:ff:ff:ff:ff
1668780013.346457000	2412	-88	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3418		ff:ff:ff:ff:ff:ff
1668780013.348809000	2412	-83	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3419		ff:ff:ff:ff:ff:ff
1668780013.600828000	2437	-80	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3429		ff:ff:ff:ff:ff:ff
1668780013.603057000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3430		ff:ff:ff:ff:ff:ff
1668780013.606622000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3431		ff:ff:ff:ff:ff:ff
1668780013.665020000	2437	-83	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3432		ff:ff:ff:ff:ff:ff
1668780013.667313000	2437	-84	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3433		ff:ff:ff:ff:ff:ff
1668780013.670103000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3434		ff:ff:ff:ff:ff:ff
