1668812411.299616000	2412	-89		27:91:e9:d8:4d:d3			
1668812411.592184000	2437	-87	e4:4e:2d:ea:68:24	ff:ff:ff:ff:ff:ff	1800		e4:4e:2d:ea:68:24
1668812411.666899000	2462	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1		ff:ff:ff:ff:ff:ff
1668812411.687689000	2462	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1218		ff:ff:ff:ff:ff:ff
1668812412.073020000	2437	-95	ca:5a:63:de:e9:53	ff:ff:ff:ff:ff:ff	1326	TELUS5668-5G	ff:ff:ff:ff:ff:ff
1668812412.093625000	2462	-92	26:19:30:7b:44:86	ff:ff:ff:ff:ff:ff	1595		ff:ff:ff:ff:ff:ff
1668812412.107946000	2437	-94	8a:3e:3a:ca:e9:53	ff:ff:ff:ff:ff:ff	598		ff:df:ed:ff:ff:ff
1668812412.110442000	2437	-89	ca:5a:63:de:e9:53	ff:ff:ff:ff:ff:ff	1329	TELUS0201	ff:ff:ff:ff:ff:ff
1668812412.113222000	2437	-89	ca:5a:63:de:e9:53	ff:ff:ff:ff:ff:ff	1330		ff:ff:ff:ff:ff:ff
1668812412.231694000	2437	-76	20:4e:f6:2d:98:0f	e4:4e:2d:c5:7d:e1	2526	UWS	e4:4e:2d:c5:7d:e1
1668812412.231903000	2437	-76	20:4e:f6:2d:98:0f	e4:4e:2d:c5:7d:e1	2527	UWS	e4:4e:2d:c5:7d:e1
1668812412.948108000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	468		ff:ff:ff:ff:ff:ff
1668812412.948128000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	468		ff:ff:ff:ff:ff:ff
1668812412.948145000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	468		ff:ff:ff:ff:ff:ff
1668812412.950547000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	469		ff:ff:ff:ff:ff:ff
1668812412.950567000	2437	-62	b2:87:66:09:27:91	7f:b7:df:ed:ff:ff	469		ff:ff:ff:ff:ff:ff
1668812412.950583000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	469		ff:ff:ff:ff:ff:ff
1668812412.991456000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	470		ff:ff:ff:ff:ff:ff
1668812412.991475000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	470		ff:ff:ff:ff:ff:ff
1668812412.993552000	2412	-40	b2:43:e8:43:27:d1	ff:ff:ff:ff:ff:ff	987		fb:7c:db:fe:4e:4f
1668812412.993571000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	471		ff:ff:ff:ff:ff:ff
1668812413.037609000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	473		ff:ff:ff:ff:ff:ff
1668812413.037628000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	473		ff:ff:ff:ff:ff:ff
