1668754804.298839000	2412	-79	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3425	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754804.298858000	2437	-25	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3425	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754804.300249000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3426	5099251212	ff:ff:ff:ff:ff:ff
1668754804.302196000	2412	-80	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3427		ff:ff:ff:ff:ff:ff
1668754804.302216000	2437	-27	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3427		ff:ff:ff:ff:ff:ff
1668754804.312678000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1274		ff:ff:ff:ff:ff:ff
1668754804.312698000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1274		ff:ff:ff:ff:ff:ff
1668754804.312713000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1274		ff:ff:ff:ff:ff:ff
1668754804.314857000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1275		ff:ff:ff:ff:ff:ff
1668754804.314876000	2437	-61	b2:87:66:09:27:91	ff:b3:b1:ff:ff:ff	1275		ff:ff:ff:ff:ff:ff
1668754804.314891000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1275		ff:ff:ff:ff:ff:ff
1668754804.355782000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1276		ff:ff:ff:ff:ff:ff
1668754804.355802000	2437	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1276		ff:ff:ff:ff:ff:ff
1668754804.358076000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1277		ff:ff:ff:ff:ff:ff
1668754804.358096000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1277		ff:ff:ff:ff:ff:ff
1668754804.358111000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1277		ff:ff:ff:ff:ff:ff
1668754804.399748000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1278		ff:ff:ff:ff:ff:ff
1668754804.401827000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1279		ff:ff:ff:ff:ff:ff
1668754804.401847000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1279		ff:ff:ff:ff:ff:ff
1668754804.421797000	2462	-40	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3434	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754804.423197000	2462	-41	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3435	5099251212	ff:ff:ff:ff:ff:ff
1668754804.424694000	2462	-43	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3436		ff:ff:ff:ff:ff:ff
1668754804.443752000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1280		ff:ff:ff:ff:ff:ff
1668754804.443771000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1280		ff:ff:ff:ff:ff:ff
1668754804.446001000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1281		ff:ff:ff:ff:ff:ff
1668754804.446021000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1281		ff:ff:ff:ff:ff:ff
1668754804.464966000	2412	-89	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3439		ff:ff:ff:ff:ff:ff
1668754804.487810000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1282		ff:ff:ff:ff:ff:ff
1668754804.487829000	2437	-81	65:0f:cd:12:4e:22	df:fe:ff:ff:ff:ff	2564		b6:d6:ff:77:db:65
1668754804.487846000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1282		ff:ff:ff:ff:ff:ff
1668754804.489932000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1283		ff:ff:ff:ff:ff:ff
1668754804.489951000	2437	-33	fb:41:e8:c3:c5:f2	fe:c4:6b:bf:bf:2b	1283		fc:ff:ff:ff:ff:ff
1668754804.489966000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1283		ff:ff:ff:ff:ff:ff
1668754804.503089000	2437	-63	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3440	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754804.506171000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3442		ff:ff:ff:ff:ff:ff
1668754804.531785000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1284		ff:ff:ff:ff:ff:ff
1668754804.531805000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1284		ff:ff:ff:ff:ff:ff
1668754804.531820000	2462	-61	b2:87:66:09:af:95	ff:ff:ff:ff:ff:ff	1284		df:ed:ff:ff:5d:94
1668754804.533883000	2412	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1285		ff:ff:ff:ff:ff:ff
1668754804.533903000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1285		ff:ff:ff:ff:ff:ff
1668754804.533919000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1285		ff:ff:ff:ff:ff:ff
1668754804.543400000	2462	-40	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3443	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754804.544823000	2462	-36	e8:50:8b:77:2e:cb	ff:df:7d:fa:df:fe	3444	5�q9251212	b6:ff:ff:ff:ff:ff
1668754804.576010000	2412	-73	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1286		ff:ff:ff:ff:ff:ff
1668754804.576029000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1286		ff:ff:ff:ff:ff:ff
1668754804.576045000	2462	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1286		ff:ff:ff:ff:ff:ff
1668754804.578172000	2412	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1287		ff:ff:ff:ff:ff:ff
1668754804.585594000	2462	-39	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3446	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754804.587026000	2462	-39	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3447	5099251212	ff:ff:ff:ff:ff:ff
1668754804.588923000	2462	-39	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3448		ff:ff:ff:ff:ff:ff
1668754804.626003000	2462	-38	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3449	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754804.627428000	2462	-39	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3450	5099251212	ff:ff:ff:ff:ff:ff
1668754804.628920000	2462	-41	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3451		ff:ff:ff:ff:ff:ff
1668754804.640060000	2462	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1288		ff:ff:ff:ff:ff:ff
1668754804.640080000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1288		ff:ff:ff:ff:ff:ff
1668754804.684099000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1290		ff:ff:ff:ff:ff:ff
1668754804.686223000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1291		ff:ff:ff:ff:ff:ff
1668754804.728130000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1292		ff:ff:ff:ff:ff:ff
1668754804.728149000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1292		ff:ff:ff:ff:ff:ff
1668754804.742778000	2412	-79	b2:87:e6:81:9a:f5	ff:ff:ff:ff:ff:ff	524		cb:45:fe:ff:ff:ff
1668754804.742798000	2462	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1294		ff:ff:ff:ff:ff:ff
1668754804.744906000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1295		ff:ff:ff:ff:ff:ff
1668754804.744925000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1295		ff:ff:ff:ff:ff:ff
1668754804.786950000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1296		ff:ff:ff:ff:ff:ff
1668754804.789050000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1297		ff:ff:ff:ff:ff:ff
1668754806.015764000	2462	-89	0a:fc:53:82:ff:9a	ff:3f:0b:3c:23:9a	1110		a3:8b:d1:bb:02:74
1668754806.322201000	2462	-91	e4:4e:2d:c5:7d:e1	c6:fe:ff:ff:ff:ff	534		e4:4e:2d:c5:7d:e1
1668754806.533478000	2462	-88	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3488	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668754806.533663000	2462	-87	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3489	5099251212	ff:ff:ff:ff:ff:ff
1668754806.534034000	2462	-86	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3490		ff:ff:ff:ff:ff:ff
1668754806.573201000	2462	-85	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3491	BELL_WIFI	ff:ff:ff:ff:ff:ff
