1669024817.348651000	2437	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1669024817.369389000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1669024817.669177000	2412	-40	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2412		ff:ff:ff:ff:ff:ff
1669024817.708878000	2412	-37	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2413		ff:ff:ff:ff:ff:ff
1669024817.752752000	2412	-34	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2414		ff:ff:ff:ff:ff:ff
1669024817.793575000	2412	-36	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2415		ff:ff:ff:ff:ff:ff
1669024817.921200000	2412	-59	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2418		ff:ff:ff:ff:ff:ff
1669024817.960858000	2437	-38	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2419		ff:ff:ff:ff:ff:ff
1669024817.983565000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	35		ff:ff:ff:ff:ff:ff
1669024818.044604000	2437	-27	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2421		ff:ff:ff:ff:ff:ff
1669024818.089431000	2437	-25	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2422		ff:ff:ff:ff:ff:ff
1669024818.129705000	2437	-25	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2423		ff:ff:ff:ff:ff:ff
1669024818.173909000	2412	-77	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2424		ff:ff:ff:ff:ff:ff
1669024818.173929000	2437	-27	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2424		ff:ff:ff:ff:ff:ff
1669024818.213888000	2412	-76	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2425		ff:ff:ff:ff:ff:ff
1669024818.213908000	2437	-29	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2425		ff:ff:ff:ff:ff:ff
1669024818.258331000	2412	-80	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2426		ff:ff:ff:ff:ff:ff
1669024818.298032000	2412	-78	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2427		ff:ff:ff:ff:ff:ff
1669024818.345353000	2412	-78	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2428		ff:ff:ff:ff:ff:ff
1669024818.385779000	2412	-78	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2429		ff:ff:ff:ff:ff:ff
1669024818.430158000	2462	-44	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2430		ff:ff:ff:ff:ff:ff
1669024818.470790000	2412	-74	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2431		ff:ff:ff:ff:ff:ff
1669024818.470810000	2462	-45	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2431		ff:ff:ff:ff:ff:ff
1669024818.515332000	2412	-74	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2432		ff:ff:ff:ff:ff:ff
1669024818.515352000	2462	-43	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2432		ff:ff:ff:ff:ff:ff
1669024818.554766000	2412	-73	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2433		ff:ff:ff:ff:ff:ff
1669024818.554786000	2462	-43	da:a1:19:42:22:ec	ff:ff:ff:ff:ff:ff	2433		ff:ff:ff:ff:ff:ff
1669024818.812305000	2437	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	65		ff:ff:ff:ff:ff:ff
1669024819.062209000	2412	-91	70:b3:17:96:65:45	ff:ff:ff:ff:ff:ff	1489		70:b3:17:96:65:45
1669024819.444323000	2437	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	87		ff:ff:ff:ff:ff:ff
1669024821.446430000	2412	-36	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1669024821.446450000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1669024821.446465000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1669024821.448531000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1669024821.448550000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1669024821.448566000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1669024821.489818000	2412	-92	80:8a:bd:24:33:ca	ff:ff:ff:ff:ff:ff	237		63:1f:8f:91:0c:d2
1669024821.489904000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1740		ff:ff:ff:ff:ff:ff
1669024821.492322000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1741		ff:ff:ff:ff:ff:ff
1669024821.494637000	2412	-93	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1665		ff:ff:ff:ff:ff:ff
1669024821.534297000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1742		ff:ff:ff:ff:ff:ff
1669024821.536473000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1743		ff:ff:ff:ff:ff:ff
1669024821.578245000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1744		ff:ff:ff:ff:ff:ff
1669024821.580429000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1745		ff:ff:ff:ff:ff:ff
1669024821.580449000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1745		ff:ff:ff:ff:ff:ff
1669024821.592798000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1746		ff:ff:ff:ff:ff:ff
1669024821.592818000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1746		ff:ff:ff:ff:ff:ff
1669024821.595103000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1747		ff:ff:ff:ff:ff:ff
1669024821.595123000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1747		ff:ff:ff:ff:ff:ff
1669024821.636855000	2412	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1748		ff:ff:ff:ff:ff:ff
1669024821.636875000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1748		ff:ff:ff:ff:ff:ff
1669024821.636890000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1748		ff:ff:ff:ff:ff:ff
1669024821.639204000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1749		ff:ff:ff:ff:ff:ff
1669024821.639223000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1749		ff:ff:ff:ff:ff:ff
1669024821.639239000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1749		ff:ff:ff:ff:ff:ff
1669024821.680981000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1750		ff:ff:ff:ff:ff:ff
1669024821.681002000	2412	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1750		ff:ff:ff:ff:ff:ff
1669024821.681017000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1750		ff:ff:ff:ff:ff:ff
1669024821.683101000	2412	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1751		ff:ff:ff:ff:ff:ff
1669024821.683120000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1751		ff:ff:ff:ff:ff:ff
1669024821.725024000	2412	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1752		ff:ff:ff:ff:ff:ff
1669024821.769144000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1754		ff:ff:ff:ff:ff:ff
1669024821.771218000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1755		ff:ff:ff:ff:ff:ff
1669024821.813074000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1756		ff:ff:ff:ff:ff:ff
1669024821.813094000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:6e:ff:ff	1756		ff:ff:ff:ff:ff:ff
1669024821.815300000	2437	-85	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1757		ff:ff:ff:ff:ff:ff
1669024821.819869000	2437	-85	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1680		ff:ff:ff:ff:ff:ff
1669024821.827703000	2437	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1758		ff:ff:ff:ff:ff:ff
1669024821.827722000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1758		ff:ff:ff:ff:ff:ff
1669024821.829900000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1759		ff:ff:ff:ff:ff:ff
1669024821.829920000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1759		ff:ff:ff:ff:ff:ff
1669024821.871702000	2437	-87	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1760		ff:ff:ff:ff:ff:ff
1669024821.871722000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1760		ff:ff:ff:ff:ff:ff
1669024821.874398000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1761		ff:ff:ff:ff:ff:ff
1669024821.878898000	2437	-81	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1681		ff:ff:ff:ff:ff:ff
1669024821.884947000	2437	-81	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1683		ff:ff:ff:ff:ff:ff
1669024821.916151000	2462	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1762		ff:ff:ff:ff:ff:ff
1669024822.132749000	2462	-91	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1693		ff:ff:ff:ff:ff:ff
1669024822.134945000	2462	-90	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1694		ff:ff:ff:ff:ff:ff
1669024825.117905000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1669024827.592138000	2437	-89	70:b3:17:a0:53:66	ff:ff:ff:ff:ff:ff	3779		bc:08:21:a0:53:66
1669024829.176480000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1776		ff:ff:ff:ff:ff:ff
1669024829.176499000	2437	-62	b2:87:66:81:23:91	ff:ff:ff:ff:ff:ff	1776		ff:ff:ff:ff:ff:bb
1669024829.176515000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1776		ff:ff:ff:ff:ff:ff
1669024829.178912000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1777		ff:ff:ff:ff:ff:ff
1669024829.178932000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1777		ff:ff:ff:ff:ff:ff
1669024829.178947000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1777		ff:ff:ff:ff:ff:ff
1669024829.240107000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1778		ff:ff:ff:ff:ff:ff
1669024829.240126000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1778		ff:ff:ff:ff:ff:ff
1669024829.242225000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1779		ff:ff:ff:ff:ff:ff
1669024829.284145000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1780		ff:ff:ff:ff:ff:ff
1669024829.286252000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1781		ff:ff:ff:ff:ff:ff
1669024829.286272000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1781		ff:ff:ff:ff:ff:ff
1669024829.298802000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1782		ff:ff:ff:ff:ff:ff
1669024829.298821000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1782		ff:ff:ff:ff:ff:ff
1669024829.300950000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1783		ff:ff:ff:ff:ff:ff
1669024829.300970000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1783		ff:ff:ff:ff:ff:ff
1669024829.313384000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1784		ff:ff:ff:ff:ff:ff
1669024829.313404000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1784		ff:ff:ff:ff:ff:ff
1669024829.313419000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1784		ff:ff:ff:ff:ff:ff
1669024829.315478000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1785		ff:ff:ff:ff:ff:ff
1669024829.315498000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1785		ff:ff:ff:ff:ff:ff
1669024829.357460000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1786		ff:ff:ff:ff:ff:ff
1669024829.357479000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1786		ff:ff:ff:ff:ff:ff
1669024829.357495000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1786		ff:ff:ff:ff:ff:ff
1669024829.359584000	2412	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1787		ff:ff:ff:ff:ff:ff
1669024829.359603000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1787		ff:ff:ff:ff:ff:ff
1669024829.359619000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1787		ff:ff:ff:ff:ff:ff
1669024829.401398000	2412	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1788		ff:ff:ff:ff:ff:ff
1669024829.401417000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1788		ff:ff:ff:ff:ff:ff
1669024829.403507000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1789		ff:ff:ff:ff:ff:ff
1669024829.403526000	2462	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1789		ff:ff:ff:ff:ff:ff
1669024829.489452000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1792		ff:ff:ff:ff:ff:ff
1669024829.553557000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1794		ff:ff:ff:ff:ff:ff
1669024829.553577000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1794		ff:ff:ff:ff:ff:ff
1669024829.597588000	2412	-80	a4:87:66:09:54:f4	ff:bb:bb:ff:7f:77	256		e7:f4:ff:ff:ff:ff
1669024829.597607000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1796		ff:ff:ff:ff:ff:ff
1669024829.597623000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1796		ff:ff:ff:ff:ff:ff
1669024829.599682000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1797		ff:ff:ff:ff:ff:ff
1669024829.599702000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1797		ff:ff:ff:ff:ff:ff
1669024829.641676000	2462	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1798		ff:ff:ff:ff:ff:ff
1669024829.645027000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1799		ff:ff:ff:ff:ff:ff
1669024833.149082000	2437	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1669024834.850593000	2412	-87	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	845		ff:ff:ff:ff:ff:ff
1669024834.852815000	2412	-90	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	846		ff:ff:ff:ff:ff:ff
1669024834.855067000	2412	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	847		ff:ff:ff:ff:ff:ff
1669024834.913445000	2412	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	848		ff:ff:ff:ff:ff:ff
1669024835.169448000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	860		ff:ff:ff:ff:ff:ff
1669024835.171603000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	861		ff:ff:ff:ff:ff:ff
1669024835.173996000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	862		ff:ff:ff:ff:ff:ff
1669024835.491222000	2462	-92	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	876		ff:ff:ff:ff:ff:ff
1669024835.493447000	2462	-90	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	877		ff:ff:ff:ff:ff:ff
1669024836.446428000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1814		ff:ff:ff:ff:ff:ff
1669024836.446448000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1814		ff:ff:ff:ff:ff:ff
1669024836.446464000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1814		ff:ff:ff:ff:ff:ff
1669024836.448482000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1815		ff:ff:ff:ff:ff:ff
1669024836.448501000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1815		ff:ff:ff:ff:ff:ff
1669024836.448517000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1815		ff:ff:ff:ff:ff:ff
1669024836.490427000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1816		ff:ff:ff:ff:ff:ff
1669024836.490447000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1816		ff:ff:ff:ff:ff:ff
1669024836.492668000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1817		ff:ff:ff:ff:ff:ff
1669024836.534406000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1818		ff:ff:ff:ff:ff:ff
1669024836.534426000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1818		ff:ff:ff:ff:ff:ff
1669024836.536581000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1819		ff:ff:ff:ff:ff:ff
1669024836.536601000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1819		ff:ff:ff:ff:ff:ff
1669024836.538947000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	45		ff:ff:ff:ff:ff:ff
1669024836.578435000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1820		ff:ff:ff:ff:ff:ff
1669024836.578455000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1820		ff:ff:ff:ff:ff:ff
1669024836.578470000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1820		ff:ff:ff:ff:ff:ff
1669024836.580580000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1821		ff:ff:ff:ff:ff:ff
1669024836.580600000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1821		ff:ff:ff:ff:ff:ff
1669024836.593151000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1822		ff:ff:ff:ff:ff:ff
1669024836.593171000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1822		ff:ff:ff:ff:ff:ff
1669024836.595486000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1823		ff:ff:ff:ff:ff:ff
1669024836.595505000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1823		ff:ff:ff:ff:ff:ff
1669024836.595520000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1823		ff:ff:ff:ff:ff:ff
1669024836.637111000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1824		ff:ff:ff:ff:ff:ff
1669024836.637131000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1824		ff:ff:ff:ff:ff:ff
1669024836.637146000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1824		ff:ff:ff:ff:ff:ff
1669024836.639186000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1825		ff:ff:ff:ff:ff:ff
1669024836.639206000	2412	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1825		ff:ff:ff:ff:ff:ff
