1668657608.614973000	2462	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	77		ff:ff:ff:ff:ff:ff
1668657608.653427000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	78	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657608.655165000	2437	-67	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	79	5099251212	ff:ff:ff:ff:ff:ff
1668657608.655185000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	79	5099251212	ff:ff:ff:ff:ff:ff
1668657608.694473000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	81	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657608.695904000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	82	5099251212	ff:ff:ff:ff:ff:ff
1668657608.698120000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	83		ff:ff:ff:ff:ff:ff
1668657608.736148000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	84	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668657608.737572000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	85	5099251212	ff:ff:ff:ff:ff:ff
1668657608.738903000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	86		ff:ff:ff:ff:ff:ff
1668657609.716496000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	49		ff:ff:ff:ff:ff:ff
1668657610.415013000	2462	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	73		ff:ff:ff:ff:ff:ff
1668657610.782832000	2462	-89	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	128		ff:ff:ff:ff:ff:ff
1668657613.333568000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1680		ff:ff:ff:ff:ff:ff
1668657613.335542000	2412	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1681		ff:ff:ff:ff:ff:ff
1668657613.417942000	2412	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1682		ff:ff:ff:ff:ff:ff
1668657613.419844000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1683		ff:ff:ff:ff:ff:ff
1668657613.546740000	2437	-45	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1686		ff:ff:ff:ff:ff:ff
1668657613.611149000	2437	-39	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1688		ff:ff:ff:ff:ff:ff
1668657613.613190000	2437	-39	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1689		ff:ff:ff:ff:ff:ff
1668657613.675275000	2437	-35	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1690		ff:ff:ff:ff:ff:ff
1668657613.677478000	2437	-36	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1691		ff:ff:ff:ff:ff:ff
1668657613.739745000	2437	-37	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1692		ff:ff:ff:ff:ff:ff
1668657613.741666000	2437	-38	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1693		ff:ff:ff:ff:ff:ff
1668657613.810459000	2462	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1690		ff:ff:ff:ff:ff:ff
1668657613.810480000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1690		ff:ff:ff:ff:ff:ff
1668657613.810495000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1690		ff:ff:ff:ff:ff:ff
1668657613.812544000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1691		ff:ff:ff:ff:ff:ff
1668657613.812563000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1691		ff:ff:ff:ff:ff:ff
1668657613.873624000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1692		ff:ff:ff:ff:ff:ff
1668657613.873643000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1692		ff:ff:ff:ff:ff:ff
1668657613.875915000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1693		ff:ff:ff:ff:ff:ff
1668657613.888295000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1694		ff:ff:ff:ff:ff:ff
1668657613.890417000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1695		ff:ff:ff:ff:ff:ff
1668657613.932267000	2412	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1696		ff:ff:ff:ff:ff:ff
1668657613.932287000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1696		ff:ff:ff:ff:ff:ff
1668657613.934423000	2412	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1697		ff:ff:ff:ff:ff:ff
1668657613.934442000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1697		ff:ff:ff:ff:ff:ff
1668657613.953341000	2462	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1698		ff:ff:ff:ff:ff:ff
1668657613.976271000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1698		ff:ff:ff:ff:ff:ff
1668657613.976291000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1698		ff:ff:ff:ff:ff:ff
1668657613.978320000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1699		ff:ff:ff:ff:ff:ff
1668657613.978340000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1699		ff:ff:ff:ff:ff:ff
1668657614.017640000	2462	-40	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1700		ff:ff:ff:ff:ff:ff
1668657614.019893000	2462	-40	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1701		ff:ff:ff:ff:ff:ff
1668657614.040478000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1700		ff:ff:ff:ff:ff:ff
1668657614.040498000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1700		ff:ff:ff:ff:ff:ff
1668657614.040515000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1700		ff:ff:ff:ff:ff:ff
1668657614.042590000	2412	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1701		ff:ff:ff:ff:ff:ff
1668657614.042609000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1701		ff:ff:ff:ff:ff:ff
1668657614.042625000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1701		ff:ff:ff:ff:ff:ff
1668657614.084428000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1702		ff:ff:ff:ff:ff:ff
1668657614.084448000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1702		ff:ff:ff:ff:ff:ff
1668657614.084464000	2462	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1702		ff:ff:ff:ff:ff:ff
1668657614.087703000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1703		ff:ff:ff:ff:ff:ff
1668657614.087722000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1703		ff:ff:ff:ff:ff:ff
1668657614.087738000	2462	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1703		ff:ff:ff:ff:ff:ff
1668657614.148570000	2412	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1704		ff:ff:ff:ff:ff:ff
1668657614.150674000	2412	-81	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1705		ff:ff:ff:ff:ff:ff
1668657614.150694000	2462	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1705		ff:ff:ff:ff:ff:ff
1668657614.192573000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1706		ff:ff:ff:ff:ff:ff
1668657614.195021000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1707		ff:ff:ff:ff:ff:ff
1668657614.236576000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1708		ff:ff:ff:ff:ff:ff
1668657614.236596000	2462	-25	d0:63:e1:40:90:90	ff:ff:ff:ff:d7:6d	3670		ff:ff:ff:fb:85:fc
1668657614.238828000	2437	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1709		ff:ff:ff:ff:ff:ff
1668657614.238848000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1709		ff:ff:ff:ff:ff:ff
1668657614.280570000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1710		ff:ff:ff:ff:ff:ff
1668657614.282928000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1711		ff:ff:ff:ff:ff:ff
1668657614.282948000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:7f:b7	2127		ff:ff:ff:ff:ff:ff
1668657614.282964000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1711		ff:ff:ff:ff:ff:ff
1668657614.326480000	2462	-26	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1712		ff:ff:ff:ff:ff:ff
