1668654011.645385000	2437	-87	9a:86:b0:88:37:d0	ff:ff:ff:ff:ff:ff	3578		ff:ff:ff:ff:ff:ff
1668654011.646714000	2437	-87	ba:23:a0:20:f1:cb	ff:ff:ff:ff:ff:ff	417		ff:ff:ff:ff:ff:ff
1668654011.653467000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	584		ff:ff:ff:ff:ff:ff
1668654011.653488000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	584		ff:ff:ff:ff:ff:ff
1668654011.653504000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	584		ff:ff:ff:ff:ff:ff
1668654011.655615000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	585		ff:ff:ff:ff:ff:ff
1668654011.655635000	2437	-21	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	585		ff:ff:ff:ff:ff:ff
1668654011.655651000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	585		ff:ff:ff:ff:ff:ff
1668654011.668185000	2437	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	586		ff:ff:ff:ff:ff:ff
1668654011.668205000	2462	-46	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	586		ff:ff:ff:ff:ff:ff
1668654011.671482000	2462	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	587		ff:ff:ff:ff:ff:ff
1668654011.696959000	2412	-83	ce:05:1f:a4:77:5e	ff:ff:ff:ff:ff:ff	1757		ff:ff:ff:ff:ff:ff
1668654011.698262000	2412	-81	fe:46:d9:16:a6:eb	ff:ff:ff:ff:ff:ff	3616		ff:ff:ff:ff:ff:ff
1668654011.712111000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	588		ff:ff:ff:ff:ff:ff
1668654011.714176000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	589		ff:ff:ff:ff:ff:ff
1668654011.756126000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	590		ff:ff:ff:ff:ff:ff
1668654011.758430000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	591		ff:ff:ff:ff:ff:ff
1668654011.758449000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	591		ff:ff:ff:ff:ff:ff
1668654011.785202000	2412	-84	e2:9e:85:07:ab:e3	ff:ff:ff:ff:ff:ff	2647		ff:ff:ff:ff:ff:ff
1668654011.786473000	2412	-88	4a:2e:02:98:19:4e	ff:ff:ff:ff:ff:ff	2914		ff:ff:ff:ff:ff:ff
1668654011.800233000	2437	-52	b2:87:c6:57:ab:50	ff:ff:ff:ff:ff:ff	592	\b�	d1:67:fb:ff:bb:fd
1668654011.800253000	2462	-23	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	592		ff:ff:ff:ff:ff:ff
1668654011.802913000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	593		ff:ff:ff:ff:ff:ff
