1668970815.184756000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	179		ff:ff:ff:ff:ff:ff
1668970815.184776000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	179		ff:ff:ff:ff:ff:ff
1668970815.197257000	2412	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	180		ff:ff:ff:ff:ff:ff
1668970815.197276000	2437	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	180		ff:ff:ff:ff:ff:ff
1668970815.197292000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	180		ff:ff:ff:ff:ff:ff
1668970815.199330000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	181		ff:ff:ff:ff:ff:ff
1668970815.199349000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	181		ff:ff:ff:ff:ff:ff
1668970815.241284000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	182		ff:ff:ff:ff:ff:ff
1668970815.241303000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	182		ff:ff:ff:ff:ff:ff
1668970815.241318000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	182		ff:ff:ff:ff:ff:ff
1668970815.243428000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	183		ff:ff:ff:ff:ff:ff
1668970815.243448000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	183		ff:ff:ff:ff:ff:ff
1668970815.243463000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	183		ff:ff:ff:ff:ff:ff
1668970815.258152000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	184		ff:ff:ff:ff:ff:ff
1668970815.258172000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	184		ff:ff:ff:ff:ff:ff
1668970815.258187000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	184		ff:ff:ff:ff:ff:ff
1668970815.260304000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	185		ff:ff:ff:ff:ff:ff
1668970815.260323000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	185		ff:ff:ff:ff:ff:ff
1668970815.260338000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	185		ff:ff:ff:ff:ff:ff
1668970815.299906000	2412	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	186		ff:ff:ff:ff:ff:ff
1668970815.299926000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	186		ff:ff:ff:ff:ff:ff
1668970815.299941000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	186		ff:ff:ff:ff:ff:ff
1668970815.302085000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	187		ff:ff:ff:ff:ff:ff
1668970815.302105000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	187		ff:ff:ff:ff:ff:ff
1668970815.302120000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	187		ff:ff:ff:ff:ff:ff
1668970815.314632000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	188		ff:ff:ff:ff:ff:ff
1668970815.314652000	2412	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	188		ff:ff:ff:ff:ff:ff
1668970815.358548000	2437	-53	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	190		ff:ff:ff:ff:ff:ff
1668970815.402857000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	192		ff:ff:ff:ff:ff:ff
1668970815.402876000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	192		ff:ff:ff:ff:ff:ff
1668970815.404901000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	193		ff:ff:ff:ff:ff:ff
1668970815.404921000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	193		ff:ff:ff:ff:ff:ff
1668970815.417301000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	194		ff:ff:ff:ff:ff:ff
1668970815.417320000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	194		ff:ff:ff:ff:ff:ff
1668970815.419503000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	195		ff:ff:ff:ff:ff:ff
1668970815.419523000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	195		ff:ff:ff:ff:ff:ff
1668970815.461379000	2462	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	196		ff:ff:ff:ff:ff:ff
1668970815.463505000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	197		ff:ff:ff:ff:ff:ff
1668970815.482658000	2437	-95	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668970815.505501000	2412	-87	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	198		ff:ff:ff:ff:ff:ff
1668970816.094076000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668970816.114845000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	58		ff:ff:ff:ff:ff:ff
1668970817.344461000	2412	-93	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	462		ff:ff:ff:ff:ff:ff
1668970817.346853000	2412	-92	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	463		ff:ff:ff:ff:ff:ff
1668970817.349401000	2412	-91	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	464		ff:ff:ff:ff:ff:ff
1668970817.601085000	2437	-82	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	474		ff:ff:ff:ff:ff:ff
1668970817.666106000	2437	-81	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	477		ff:ff:ff:ff:ff:ff
1668970817.668331000	2437	-81	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	478		ff:ff:ff:ff:ff:ff
1668970817.671883000	2437	-81	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	479		ff:ff:ff:ff:ff:ff
1668970818.166960000	2412	-89	c2:50:d3:61:a0:2b	ff:ff:ff:ff:ff:ff	29		ff:ff:ff:ff:ff:ff
1668970818.186130000	2412	-88	c2:50:d3:61:a0:2b	ff:ff:ff:ff:ff:ff	30		ff:ff:ff:ff:ff:ff
1668970818.209256000	2437	-85	be:42:87:ea:66:ee	ff:ff:ff:ff:ff:ff	397		ff:ff:ff:ff:ff:ff
1668970818.231943000	2437	-86	be:42:87:ea:66:ee	ff:ff:ff:ff:ff:ff	398		ff:ff:ff:ff:ff:ff
1668970821.223567000	2437	-92	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	3383		ff:ff:ff:ff:ff:ff
1668970821.760792000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668970824.199233000	2437	-92	26:f0:d5:4f:4a:16	ff:ff:ff:ff:ff:ff	3701		ff:ff:ff:ff:ff:ff
1668970824.220009000	2437	-88	26:f0:d5:4f:4a:16	ff:ff:ff:ff:ff:ff	3702		ff:ff:ff:ff:ff:ff
1668970827.597616000	2437	-91	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	3462		ff:ff:ff:ff:ff:ff
1668970829.165757000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	212		ff:ff:ff:ff:ff:ff
1668970829.165776000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	212		ff:ff:ff:ff:ff:ff
1668970829.165792000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	212		ff:ff:ff:ff:ff:ff
1668970829.167856000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	213		ff:ff:ff:ff:ff:ff
1668970829.167876000	2437	-61	b2:87:e6:41:45:f4	ff:ff:ff:ff:ff:ff	145		db:6e:ff:ff:ef:f6
1668970829.167891000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	213		ff:ff:ff:ff:ff:ff
1668970829.229356000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	214		ff:ff:ff:ff:ff:ff
1668970829.229376000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	214		ff:ff:ff:ff:ff:ff
1668970829.229392000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	214		ff:ff:ff:ff:ff:ff
1668970829.231651000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	215		ff:ff:ff:ff:ff:ff
1668970829.231671000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	215		ff:ff:ff:ff:ff:ff
1668970829.273446000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	216		ff:ff:ff:ff:ff:ff
1668970829.275552000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	217		ff:ff:ff:ff:ff:ff
1668970829.275572000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	217		ff:ff:ff:ff:ff:ff
1668970829.317348000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	218		ff:ff:ff:ff:ff:ff
1668970829.319510000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	219		ff:ff:ff:ff:ff:ff
1668970829.319530000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	219		ff:ff:ff:ff:ff:ff
