1668974402.786832000	2462	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1197		ff:ff:ff:ff:ff:ff
1668974402.828773000	2437	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1198		ff:ff:ff:ff:ff:ff
1668974402.828792000	2462	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1198		ff:ff:ff:ff:ff:ff
1668974402.830904000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1199		ff:ff:ff:ff:ff:ff
1668974402.830921000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1199		ff:ff:ff:ff:ff:ff
1668974402.874620000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1200		ff:ff:ff:ff:ff:ff
1668974402.877090000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1201		ff:ff:ff:ff:ff:ff
1668974402.937389000	2462	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1202		ff:ff:ff:ff:ff:ff
1668974403.043387000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	58		ff:ff:ff:ff:ff:ff
1668974403.586263000	2437	-86	b6:68:fd:85:59:93	ff:ff:ff:ff:ff:ff	4067		ff:ff:ff:ff:ff:ff
1668974403.607668000	2437	-89	b6:68:fd:85:59:93	f6:ff:ff:ff:ff:ff	4068		ff:ff:ff:ff:ff:ff
1668974404.079970000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	24		ff:ff:ff:ff:ff:ff
1668974404.343093000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668974404.955171000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668974404.989199000	2412	-90	70:b3:17:a0:53:c2	40:44:ff:ff:ff:ff	3883		70:b3:17:a0:53:c2
1668974405.179830000	2437	-89	04:f0:21:3f:23:95	ff:ff:ff:ff:ff:ff	1450		ff:ff:ff:ff:ff:ff
1668974408.018307000	2437	-91	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	2427		ff:ff:ff:ff:ff:ff
1668974408.296107000	2462	-92	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	2433		ff:ff:ff:ff:ff:ff
1668974408.542708000	2437	-91	0a:6b:fa:70:95:8c	ff:ff:ef:d4:fe:ff	1099		ff:ff:ff:ff:ff:ff
1668974408.558946000	2437	-92	0a:6b:fa:60:8c:85	ff:ff:ff:ff:ff:ff	1101		ff:ff:ff:ff:ff:ff
1668974408.881388000	2412	-37	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3399		ff:ff:ff:ff:ff:ff
1668974408.922132000	2412	-41	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3400		ff:ff:ff:ff:ff:ff
1668974408.965482000	2412	-35	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3401		ff:ff:ff:ff:ff:ff
1668974409.005634000	2412	-34	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3402		ff:ff:ff:ff:ff:ff
1668974409.050359000	2412	-43	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3403		ff:ff:ff:ff:ff:ff
1668974409.218132000	2437	-27	da:a1:19:d9:0b:2d	77:eb:d4:5c:b6:ff	3407		ff:ff:ff:ff:ff:ff
1668974409.258009000	2437	-26	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3408		ff:ff:ff:ff:ff:ff
1668974409.342009000	2437	-25	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3410		ff:ff:ff:ff:ff:ff
1668974409.385539000	2412	-77	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3411		ff:ff:ff:ff:ff:ff
1668974409.385559000	2437	-27	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3411		ff:ff:ff:ff:ff:ff
1668974409.426036000	2412	-76	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3412		ff:ff:ff:ff:ff:ff
1668974409.426056000	2437	-28	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3412		ff:ff:ff:ff:ff:ff
1668974409.555589000	2412	-79	5a:79:58:d9:0b:2d	ff:ff:ff:ff:ff:ff	3359		ff:ff:0a:67:fb:ff
1668974409.596044000	2412	-79	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3416		ff:ff:ff:ff:ff:ff
1668974409.596063000	2462	-53	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3416		ff:ff:ff:ff:ff:ff
1668974409.639765000	2462	-45	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3417		ff:ff:ff:ff:ff:ff
1668974409.670484000	2437	-90	04:f0:21:3f:23:95	ff:ff:ff:ff:ff:ff	1470	CSS-ICVS	ff:ff:ff:ff:ff:df
1668974409.680528000	2462	-45	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3418		ff:ff:ff:ff:ff:ff
1668974409.724742000	2462	-41	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3419		ff:ff:ff:ff:ff:ff
1668974409.764945000	2412	-74	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3420		ff:ff:ff:ff:ff:ff
1668974409.764965000	2462	-41	da:a1:19:d9:0b:2d	ff:ff:ff:ff:ff:ff	3420		ff:ff:ff:ff:ff:ff
