1668693608.281870000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1474		ff:ff:ff:ff:ff:ff
1668693608.281890000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1474		ff:ff:ff:ff:ff:ff
1668693608.283992000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1475		ff:ff:ff:ff:ff:ff
1668693608.325901000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668693608.325921000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668693608.325936000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668693608.328070000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1477		ff:ff:ff:ff:ff:ff
1668693608.328091000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1477		ff:ff:ff:ff:ff:ff
1668693608.370124000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1478		ff:ff:ff:ff:ff:ff
1668693608.370144000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1478		ff:ff:ff:ff:ff:ff
1668693608.370159000	2462	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1478		ff:ff:ff:ff:ff:ff
1668693608.372292000	2437	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1479		ff:ff:ff:ff:ff:ff
1668693608.374930000	2437	-74	70:b3:17:a0:52:e5	ff:ff:ff:ff:ff:ff	930		fe:5f:4d:a3:52:85
1668693608.434091000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1480		ff:ff:ff:ff:ff:ff
1668693608.436469000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1481		ff:ff:ff:ff:ff:ff
1668693609.500451000	2437	-88	08:f6:9c:10:54:fb	ff:ff:ff:ff:ff:ff	2938	UWS	ff:ff:ff:ff:ff:ff
1668693609.510193000	2437	-86	08:f6:9c:10:54:fb	ff:ff:ff:ff:ff:ff	2939	UWS	ff:ff:ff:ff:ff:ff
1668693610.612320000	2462	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1		ff:ff:ff:ff:ff:ff
1668693610.875438000	2437	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668693610.988851000	2437	-87	fe:ca:7f:44:a3:88	ff:ff:ff:ff:ff:ff	1373	Guest@UofA	ff:ff:ff:ff:ff:ff
1668693611.004171000	2437	-86	fe:ca:7f:44:a3:88	ff:ff:ff:ff:ff:ff	1375	Guest@UofA	ff:ff:ff:ff:ff:ff
1668693611.092934000	2462	-91	fe:ca:7f:44:a3:88	ff:ff:ff:ff:ff:ff	1377	Guest@UofA	ff:ff:ff:ff:ff:ff
1668693611.106474000	2462	-89	fe:ca:7f:44:a3:88	ff:ff:ff:ff:ff:ff	1379	Guest@UofA	ff:ff:ff:ff:ff:ff
1668693611.580125000	2437	-91	db:d1:b9:f0:6a:b2	ca:19:ff:ff:81:40	2270		a9:63:f8:2a:70:a6
1668693613.895481000	2437	-88	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	35		ff:ff:ff:ff:ff:ff
1668693613.916657000	2437	-93	00:22:58:70:00:fc	fc:97:ed:ff:ff:ff	36		ed:ff:ff:ff:ff:77
1668693614.487486000	2412	-84	70:b3:17:a0:9f:8f	ff:ff:ff:ff:ff:ff	1468		70:b3:17:00:99:26
1668693614.527482000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668693615.195663000	2437	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668693615.847336000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668693616.916241000	2462	-92	c9:89:6d:99:5f:a9	ff:ff:ff:ff:ff:ff	950		ff:ff:ff:ff:ff:6e
1668693618.134397000	2412	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1403		ff:ff:ff:ff:ff:ff
1668693618.136622000	2412	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1404		ff:ff:ff:ff:ff:ff
1668693618.138871000	2412	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1405		ff:ff:ff:ff:ff:ff
1668693618.204156000	2412	-86	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1408		ff:ff:ff:ff:ff:ff
1668693618.458305000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1418		ff:ff:ff:ff:ff:ff
1668693618.460526000	2437	-84	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1419		ff:ff:ff:ff:ff:ff
1668693618.464076000	2437	-83	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1420		ff:ff:ff:ff:ff:ff
1668693618.528224000	2437	-80	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1423		ff:ff:ff:ff:ff:ff
1668693618.777204000	2462	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1433		ff:ff:ff:ff:ff:ff
1668693619.299327000	2412	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2752		ff:ff:ff:ff:ff:ff
1668693619.301451000	2412	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2753		ff:ff:ff:ff:ff:ff
1668693619.383551000	2412	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2754		ff:ff:ff:ff:ff:ff
1668693619.385503000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2755		ff:ff:ff:ff:ff:ff
1668693619.512253000	2437	-45	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2758		ff:ff:ff:ff:ff:ff
1668693619.514152000	2437	-44	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2759		ff:ff:ff:ff:ff:ff
1668693619.576725000	2437	-37	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2760		ff:ff:ff:ff:ff:ff
1668693619.578702000	2437	-38	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2761		ff:ff:ff:ff:ff:ff
1668693619.640956000	2437	-36	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2762		ff:ff:ff:ff:ff:ff
1668693619.642955000	2437	-35	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2763		ff:ff:ff:ff:ff:ff
1668693619.727689000	2412	-86	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2765		ff:ff:ff:ff:ff:ff
1668693619.727708000	2437	-37	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2765		ff:ff:ff:ff:ff:ff
1668693619.854280000	2462	-52	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2768		ff:ff:ff:ff:ff:ff
1668693619.918478000	2462	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2770		ff:ff:ff:ff:ff:ff
1668693619.920604000	2462	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2771		ff:ff:ff:ff:ff:ff
1668693619.982933000	2462	-41	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2772		ff:ff:ff:ff:ff:ff
1668693619.985430000	2462	-39	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2773		ff:ff:ff:ff:ff:ff
1668693622.130139000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668693622.150871000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668693622.982940000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1494		ff:ff:ff:ff:ff:ff
1668693622.982960000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1494		ff:ff:ff:ff:ff:ff
1668693622.982977000	2462	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1494		ff:ff:ff:ff:ff:ff
1668693622.985701000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1495		ff:ff:ff:ff:ff:ff
1668693622.985721000	2437	-48	b2:87:a2:43:05:90	ff:ff:ff:ff:ff:ff	1495		ff:ff:ff:ff:5d:b6
1668693622.985736000	2462	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1495		ff:ff:ff:ff:ff:ff
1668693623.046822000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1496		ff:ff:ff:ff:ff:ff
1668693623.046842000	2437	-43	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1496		ff:ff:ff:ff:ff:ff
1668693623.048894000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1497		ff:ff:ff:ff:ff:ff
1668693623.048914000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1497		ff:ff:ff:ff:ff:ff
1668693623.061544000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1498		ff:ff:ff:ff:ff:ff
1668693623.063640000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1499		ff:ff:ff:ff:ff:ff
1668693623.076199000	2437	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1500		ff:ff:ff:ff:ff:ff
1668693623.076219000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1500		ff:ff:ff:ff:ff:ff
1668693623.078294000	2412	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1501		ff:ff:ff:ff:ff:ff
1668693623.078314000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1501		ff:ff:ff:ff:ff:ff
1668693623.090794000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1502		ff:ff:ff:ff:ff:ff
1668693623.090813000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1502		ff:ff:ff:ff:ff:ff
1668693623.090828000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1502		ff:ff:ff:ff:ff:ff
1668693623.094049000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1503		ff:ff:ff:ff:ff:ff
1668693623.094070000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1503		ff:ff:ff:ff:ff:ff
1668693623.134849000	2412	-60	b2:87:66:09:27:91	ff:ff:bb:fd:ff:ff	1504		ff:ff:ff:ff:ff:ff
1668693623.134869000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1504		ff:ff:ff:ff:ff:ff
