1668855612.275817000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2747		ff:ff:ff:ff:ff:ff
1668855612.317724000	2412	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2748		ff:ff:ff:ff:ff:ff
1668855612.317743000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2748		ff:ff:ff:ff:ff:ff
1668855612.317758000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2748		ff:ff:ff:ff:ff:ff
1668855612.319890000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2749		ff:ff:ff:ff:ff:ff
1668855612.363592000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2750		ff:ff:ff:ff:ff:ff
1668855612.365744000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2751		ff:ff:ff:ff:ff:ff
1668855612.365763000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2751		ff:ff:ff:ff:ff:ff
1668855612.365779000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2751		ff:ff:ff:ff:ff:ff
1668855612.407579000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2752		ff:ff:ff:ff:ff:ff
1668855612.409743000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2753		ff:ff:ff:ff:ff:ff
1668855612.409762000	2462	-36	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2753		ff:ff:ff:ff:ff:ff
1668855612.419166000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668855612.471848000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2754		ff:ff:ff:ff:ff:ff
1668855612.471867000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2754		ff:ff:ff:ff:ff:ff
