1668920411.170488000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3877		ff:ff:ff:ff:ff:ff
1668920411.170507000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3877		ff:ff:ff:ff:ff:ff
1668920411.210776000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3878		ff:ff:ff:ff:ff:ff
1668920411.212967000	2462	-36	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3879		ff:ff:ff:ff:ff:ff
1668920411.225413000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3880		ff:ff:ff:ff:ff:ff
1668920411.225432000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3880		ff:ff:ff:ff:ff:ff
1668920411.227646000	2437	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3881		ff:ff:ff:ff:ff:ff
1668920411.227665000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3881		ff:ff:ff:ff:ff:ff
1668920411.269468000	2412	-81	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3882		ff:ff:ff:ff:ff:ff
1668920411.269488000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3882		ff:ff:ff:ff:ff:ff
1668920411.269503000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3882		ff:ff:ff:ff:ff:ff
1668920411.271614000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3883		ff:ff:ff:ff:ff:ff
1668920411.271634000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3883		ff:ff:ff:ff:ff:ff
1668920411.333513000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3884		ff:ff:ff:ff:ff:ff
1668920411.335691000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3885		ff:ff:ff:ff:ff:ff
1668920411.397732000	2412	-90	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3886		ff:ff:ff:ff:ff:ff
1668920411.690898000	2462	-92	00:22:58:70:00:dc	7f:b7:ff:ff:ff:ff	24		ff:ff:ff:ff:ff:ff
1668920412.317464000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	17		ff:ff:ff:ff:ff:ff
1668920412.556294000	2462	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	22		ff:ff:ff:ff:ff:ff
1668920412.820190000	2437	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	34		ff:ff:ff:ff:ff:ff
1668920412.840814000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	35		ff:ff:ff:ff:ff:ff
1668920413.041593000	2462	-88	70:e3:16:96:65:47	ff:ff:bf:da:ff:ff	3417		70:b3:17:96:65:47
1668920414.764823000	2437	-90	e8:30:ee:fd:50:64	ff:ff:33:20:8a:56	2136		70:b3:17:a0:53:64
1668920417.409068000	2412	-80	74:ba:d1:48:cc:5c	f8:4b:2d:ea:68:21	4095		d1:0f:ce:7e:ff:ff
1668920417.739961000	2412	-54	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1944		ff:ff:ff:ff:ff:ff
1668920417.742363000	2412	-56	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1945		ff:ff:ff:ff:ff:ff
1668920417.824135000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1946		ff:ff:ff:ff:ff:ff
1668920417.826135000	2462	-88	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1947		ff:ff:ff:ff:ff:ff
1668920418.017384000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1952		ff:ff:ff:ff:ff:ff
1668920418.019311000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1953		ff:ff:ff:ff:ff:ff
1668920418.081720000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1954		ff:ff:ff:ff:ff:ff
1668920418.081740000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1954		ff:ff:ff:ff:ff:ff
1668920418.083617000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1955		ff:ff:ff:ff:ff:ff
1668920418.083637000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1955		ff:ff:ff:ff:ff:ff
1668920418.146062000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1956		ff:ff:ff:ff:ff:ff
1668920418.146081000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1956		ff:ff:ff:ff:ff:ff
1668920418.148110000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1957		ff:ff:ff:ff:ff:ff
1668920418.329764000	2462	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668920418.339189000	2462	-35	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1962		ff:ff:ff:ff:ff:ff
1668920418.341165000	2462	-35	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1963		ff:ff:ff:ff:ff:ff
1668920418.403618000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1964		ff:ff:ff:ff:ff:ff
1668920418.405601000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1965		ff:ff:ff:ff:ff:ff
1668920421.701800000	2462	-92	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	3932		ff:ff:ff:ff:ff:ff
1668920421.704025000	2462	-88	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	3933		ff:ff:ff:ff:ff:ff
1668920421.706225000	2462	-92	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	3934		ff:ff:ff:ff:ff:ff
1668920422.846829000	2412	-90	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	707		ff:ff:ff:ff:ff:ff
1668920422.910827000	2412	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	710		ff:ff:ff:ff:ff:ff
1668920423.162282000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	720		ff:ff:ff:ff:ff:ff
1668920423.164507000	2437	-86	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	721		ff:ff:ff:ff:ff:ff
1668920423.166763000	2437	-84	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	722		ff:ff:ff:ff:ff:ff
1668920423.231720000	2437	-82	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	725		ff:ff:ff:ff:ff:ff
1668920423.481184000	2462	-91	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	735		ff:ff:ff:ff:ff:ff
1668920425.887975000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3900		ff:ff:ff:ff:ff:ff
1668920425.887995000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3900		ff:ff:ff:ff:ff:ff
1668920425.888010000	2462	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3900		ff:ff:ff:ff:ff:ff
1668920425.890407000	2462	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3901		ff:ff:ff:ff:ff:ff
1668920425.890427000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3901		ff:ff:ff:ff:ff:ff
1668920425.890442000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3901		ff:ff:ff:ff:ff:ff
1668920425.931154000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3902		ff:ff:ff:ff:ff:ff
1668920425.931173000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3902		ff:ff:ff:ff:ff:ff
1668920425.931190000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3902		ff:ff:ff:ff:ff:ff
1668920425.933269000	2412	-40	b2:16:66:09:27:91	ff:ff:ff:ff:ff:ff	3903		ff:ff:ff:ff:ff:ff
1668920425.933289000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3903		ff:ff:ff:ff:ff:ff
1668920425.995321000	2437	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3904		ff:ff:ff:ff:ff:ff
1668920425.995340000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3904		ff:ff:ff:ff:ff:ff
