1668898811.344806000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	837		ff:ff:ff:ff:ff:ff
1668898811.386763000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	838		ff:ff:ff:ff:ff:ff
1668898811.386783000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	838		ff:ff:ff:ff:ff:ff
1668898811.388912000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	839		ff:ff:ff:ff:ff:ff
1668898811.388931000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	839		ff:ff:ff:ff:ff:ff
1668898811.401359000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	840		ff:ff:ff:ff:ff:ff
1668898811.403438000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	841		ff:ff:ff:ff:ff:ff
1668898811.403458000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	841		ff:ff:ff:ff:ff:ff
1668898811.445317000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	842		ff:ff:ff:ff:ff:ff
1668898811.445337000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	842		ff:ff:ff:ff:ff:ff
1668898811.445352000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	842		ff:ff:ff:ff:ff:ff
1668898811.447487000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	843		ff:ff:ff:ff:ff:ff
1668898811.447507000	2462	-63	fa:a7:74:09:27:91	ff:ff:ff:ff:ff:7f	879		df:f4:fb:ff:ff:ff
1668898811.460037000	2412	-73	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	844		ff:ff:ff:ff:ff:ff
1668898811.460056000	2437	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	844		ff:ff:ff:ff:ff:ff
1668898811.462106000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	845		ff:ff:ff:ff:ff:ff
