1668852009.642253000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1399		ff:ff:ff:ff:ff:ff
1668852009.664159000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1400		ff:ff:ff:ff:ff:ff
1668852009.664179000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1400		ff:ff:ff:ff:ff:ff
1668852009.664194000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1400		ff:ff:ff:ff:ff:ff
1668852009.666233000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1401		ff:ff:ff:ff:ff:ff
1668852009.666253000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1401		ff:ff:ff:ff:ff:ff
1668852009.666268000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1401		ff:ff:ff:ff:ff:ff
1668852009.708212000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1402		ff:ff:ff:ff:ff:ff
1668852009.708231000	2437	-35	d6:43:b3:84:93:c8	ff:ff:ff:ff:ff:ff	1402		f7:b3:f9:ff:ff:ff
1668852009.710375000	2412	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1403		ff:ff:ff:ff:ff:ff
1668852009.722800000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1404		ff:ff:ff:ff:ff:ff
1668852009.725003000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1405		ff:ff:ff:ff:ff:ff
1668852009.766903000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1406		ff:ff:ff:ff:ff:ff
1668852009.769077000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1407		ff:ff:ff:ff:ff:ff
1668852009.810881000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1408		ff:ff:ff:ff:ff:ff
1668852009.810900000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1408		ff:ff:ff:ff:ff:ff
1668852009.812963000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1409		ff:ff:ff:ff:ff:ff
1668852009.812982000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1409		ff:ff:ff:ff:ff:ff
1668852009.825458000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1410		ff:ff:ff:ff:ff:ff
1668852009.825478000	2437	-70	b2:87:66:09:27:91	7f:95:ba:7d:b7:ff	1410		ff:ff:ff:ff:ff:ff
1668852009.827931000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1411		ff:ff:ff:ff:ff:ff
1668852009.827951000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1411		ff:ff:ff:ff:ff:ff
1668852009.827966000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1411		ff:ff:ff:ff:ff:ff
